dftb_energy,orca_energy
-230.4623476,-2824.9811675
-230.4650965,-2824.9815498
-230.4683177,-2824.9816942
-230.4708378,-2824.9815622
-230.4722989,-2824.9812052
-230.4733616,-2824.9809546
-230.4747526,-2824.9807020
-230.4767894,-2824.9802761
-230.4794571,-2824.9798250
-230.4827446,-2824.9794155
-230.4857444,-2824.9788874
-230.4879361,-2824.9786492
-230.4894083,-2824.9788416
-230.4904599,-2824.9793934
-230.4908326,-2824.9799849
-230.4905559,-2824.9803101
-230.4894821,-2824.9799019
-230.4882534,-2824.9787692
-230.4871170,-2824.9776677
-230.4863754,-2824.9767265
-230.4859215,-2824.9763222
-230.4854455,-2824.9774137
-230.4850618,-2824.9796986
-230.4854529,-2824.9820243
-230.4862720,-2824.9834501
-230.4872867,-2824.9832746
-230.4883826,-2824.9816044
-230.4895781,-2824.9789656
-230.4904894,-2824.9766965
-230.4910982,-2824.9753910
-230.4918694,-2824.9749842
-230.4926516,-2824.9759916
-230.4931682,-2824.9790701
-230.4934117,-2824.9822633
-230.4931534,-2824.9831074
-230.4921129,-2824.9812898
-230.4903603,-2824.9782738
-230.4883641,-2824.9755217
-230.4861761,-2824.9738061
-230.4844493,-2824.9735505
-230.4835601,-2824.9744425
-230.4830066,-2824.9763210
-230.4824199,-2824.9794319
-230.4818628,-2824.9830102
-230.4810363,-2824.9860029
-230.4800474,-2824.9874148
-230.4790180,-2824.9872918
-230.4782357,-2824.9856643
-230.4775642,-2824.9832661
-230.4767857,-2824.9812622
-230.4763318,-2824.9800655
-230.4763798,-2824.9801140
-230.4766860,-2824.9814319
-230.4769702,-2824.9834194
-230.4773059,-2824.9851868
-230.4792025,-2824.9833067
-230.4812540,-2824.9843891
-230.4814237,-2824.9854238
-230.4803610,-2824.9860636
-230.4787486,-2824.9863199
-230.4770071,-2824.9858698
-230.4750441,-2824.9847281
-230.4729631,-2824.9830122
-230.4709558,-2824.9812619
-230.4695427,-2824.9798924
-230.4693360,-2824.9793305
-230.4696017,-2824.9796165
-230.4699264,-2824.9807453
-230.4708119,-2824.9824890
-230.4721993,-2824.9843431
-230.4737785,-2824.9852828
-230.4751400,-2824.9850053
-230.4759481,-2824.9834983
-230.4762912,-2824.9814750
-230.4760772,-2824.9795264
-230.4751659,-2824.9782885
-230.4733394,-2824.9780278
-230.4715868,-2824.9787976
-230.4703433,-2824.9802751
-230.4694061,-2824.9812817
-230.4681258,-2824.9809390
-230.4660226,-2824.9787293
-230.4631151,-2824.9748053
-230.4598939,-2824.9705153
-230.4570713,-2824.9672151
-230.4553629,-2824.9658031
-230.4555068,-2824.9664779
-230.4577686,-2824.9689964
-230.4617647,-2824.9727134
-230.4662662,-2824.9766526
-230.4702769,-2824.9798529
-230.4732546,-2824.9815718
-230.4754463,-2824.9819243
-230.4774055,-2824.9818479
-230.4794275,-2824.9817320
-230.4815012,-2824.9820192
-230.4837593,-2824.9828472
-230.4856669,-2824.9838737
-230.4868292,-2824.9847247
-230.4873605,-2824.9853330
-230.4875155,-2824.9856143
-230.4874712,-2824.9854897
-230.4874343,-2824.9851088
-230.4875303,-2824.9846829
-230.4876778,-2824.9843771
-230.4878586,-2824.9842639
-230.4882018,-2824.9844574
-230.4885302,-2824.9848487
-230.4886150,-2824.9852143
-230.4886335,-2824.9854306
-230.4889397,-2824.9854738
-230.4894231,-2824.9853823
-230.4900909,-2824.9851644
-230.4908547,-2824.9847553
-230.4914266,-2824.9842212
-230.4911278,-2824.9835778
-230.4895891,-2824.9829767
-230.4871871,-2824.9826446
-230.4848146,-2824.9826507
-230.4833387,-2824.9830622
-230.4828258,-2824.9837427
-230.4824421,-2824.9842434
-230.4813056,-2824.9836862
-230.4787929,-2824.9815056
-230.4748116,-2824.9776920
-230.4705020,-2824.9735425
-230.4673805,-2824.9708381
-230.4658455,-2824.9700010
-230.4656241,-2824.9705290
-230.4671702,-2824.9728777
-230.4709817,-2824.9771800
-230.4759001,-2824.9821580
-230.4799589,-2824.9860320
-230.4822539,-2824.9877876
-230.4830287,-2824.9875815
-230.4829882,-2824.9861015
-230.4830804,-2824.9843136
-230.4842537,-2824.9830848
-230.4866521,-2824.9827810
-230.4892681,-2824.9831448
-230.4913086,-2824.9838836
-230.4923528,-2824.9845999
-230.4924229,-2824.9850741
-230.4915816,-2824.9852292
-230.4902791,-2824.9851228
-230.4887405,-2824.9846662
-230.4871170,-2824.9840565
-230.4857813,-2824.9833229
-230.4849474,-2824.9826020
-230.4846633,-2824.9821636
-230.4849806,-2824.9820389
-230.4857038,-2824.9823303
-230.4863532,-2824.9829572
-230.4870321,-2824.9837477
-230.4877295,-2824.9844655
-230.4792025,-2824.9833129
-230.4812540,-2824.9843876
-230.4814237,-2824.9854265
-230.4803610,-2824.9860672
-230.4787486,-2824.9863198
-230.4770071,-2824.9858609
-230.4750441,-2824.9847323
-230.4729631,-2824.9830115
-230.4709558,-2824.9812651
-230.4695427,-2824.9799016
-230.4693360,-2824.9793227
-230.4696017,-2824.9796151
-230.4699264,-2824.9807424
-230.4708119,-2824.9824850
-230.4721993,-2824.9843391
-230.4737785,-2824.9852844
-230.4751400,-2824.9850040
-230.4759481,-2824.9835035
-230.4762912,-2824.9814703
-230.4760772,-2824.9795310
-230.4751659,-2824.9782908
-230.4733394,-2824.9780316
-230.4715868,-2824.9787981
-230.4703433,-2824.9802777
-230.4694061,-2824.9812865
-230.4681258,-2824.9809439
-230.4660226,-2824.9787296
-230.4631151,-2824.9748102
-230.4598939,-2824.9705175
-230.4570713,-2824.9672092
-230.4553629,-2824.9658040
-230.4555068,-2824.9664777
-230.4577686,-2824.9689984
-230.4617647,-2824.9727138
-230.4662662,-2824.9766548
-230.4702769,-2824.9798565
-230.4732546,-2824.9815786
-230.4754463,-2824.9819325
-230.4774055,-2824.9818510
-230.4794275,-2824.9817293
-230.4815012,-2824.9820186
-230.4837593,-2824.9828454
-230.4856669,-2824.9838737
-230.4868292,-2824.9847237
-230.4873605,-2824.9853313
-230.4875155,-2824.9856213
-230.4874712,-2824.9854934
-230.4874343,-2824.9851056
-230.4875303,-2824.9846823
-230.4876778,-2824.9843765
-230.4878586,-2824.9842652
-230.4882018,-2824.9844534
-230.4885302,-2824.9848542
-230.4886150,-2824.9852125
-230.4886335,-2824.9854294
-230.4889397,-2824.9854775
-230.4894231,-2824.9853820
-230.4900909,-2824.9851395
-230.4908547,-2824.9847518
-230.4914266,-2824.9842260
-230.4911278,-2824.9835794
-230.4895891,-2824.9829770
-230.4871871,-2824.9826440
-230.4848146,-2824.9826546
-230.4833387,-2824.9830601
-230.4828258,-2824.9837445
-230.4824421,-2824.9842444
-230.4813056,-2824.9836900
-230.4787929,-2824.9815061
-230.4748116,-2824.9776946
-230.4705020,-2824.9735423
-230.4673805,-2824.9708310
-230.4658455,-2824.9699994
-230.4656241,-2824.9705266
-230.4671702,-2824.9728744
-230.4709817,-2824.9771782
-230.4759001,-2824.9821606
-230.4799589,-2824.9860322
-230.4822539,-2824.9877899
-230.4830287,-2824.9875836
-230.4829882,-2824.9861023
-230.4830804,-2824.9843148
-230.4842537,-2824.9830875
-230.4866521,-2824.9827807
-230.4892681,-2824.9831433
-230.4913086,-2824.9838823
-230.4923528,-2824.9846035
-230.4924229,-2824.9850707
-230.4915816,-2824.9852325
-230.4902791,-2824.9851219
-230.4887405,-2824.9846630
-230.4871170,-2824.9840528
-230.4857813,-2824.9833215
-230.4849474,-2824.9826078
-230.4846633,-2824.9821639
-230.4849806,-2824.9820470
-230.4857038,-2824.9823359
-230.4863532,-2824.9829653
-230.4870321,-2824.9837465
-230.4877295,-2824.9844672
-230.4374823,-2824.9616343
-230.4366817,-2824.9613311
-230.4369252,-2824.9622801
-230.4386114,-2824.9642577
-230.4415042,-2824.9667713
-230.4448729,-2824.9692534
-230.4482638,-2824.9714033
-230.4517986,-2824.9734236
-230.4563481,-2824.9755093
-230.4614436,-2824.9776453
-230.4654286,-2824.9797168
-230.4683656,-2824.9815530
-230.4707529,-2824.9831808
-230.4726494,-2824.9842230
-230.4741290,-2824.9846687
-230.4753725,-2824.9847089
-230.4763761,-2824.9845221
-230.4774757,-2824.9841831
-230.4780586,-2824.9832743
-230.4777524,-2824.9819212
-230.4772506,-2824.9810091
-230.4772690,-2824.9811439
-230.4776970,-2824.9824281
-230.4780992,-2824.9842591
-230.4778446,-2824.9853200
-230.4763613,-2824.9844705
-230.4737010,-2824.9816469
-230.4702585,-2824.9776721
-230.4668639,-2824.9737874
-230.4644434,-2824.9711857
-230.4629601,-2824.9701214
-230.4622591,-2824.9707448
-230.4634804,-2824.9734189
-230.4667790,-2824.9776195
-230.4707529,-2824.9820963
-230.4740294,-2824.9855486
-230.4758595,-2824.9868616
-230.4765348,-2824.9859022
-230.4769812,-2824.9836089
-230.4782284,-2824.9812975
-230.4807817,-2824.9801778
-230.4847408,-2824.9803831
-230.4888364,-2824.9815335
-230.4919432,-2824.9830143
-230.4933896,-2824.9841191
-230.4936147,-2824.9844636
-230.4929062,-2824.9840575
-230.4918288,-2824.9832160
-230.4906592,-2824.9822185
-230.4897589,-2824.9812722
-230.4893124,-2824.9804671
-230.4892275,-2824.9798991
-230.4893013,-2824.9796494
-230.4893050,-2824.9796825
-230.4892165,-2824.9798386
-230.4892681,-2824.9801379
-230.4896592,-2824.9806539
-230.4903013,-2824.9810712
-230.4910466,-2824.9813424
-230.4914488,-2824.9815538
-230.4912680,-2824.9813992
-230.4903382,-2824.9809516
-230.4889951,-2824.9805918
-230.4876446,-2824.9804193
-230.4865119,-2824.9803773
-230.4856522,-2824.9803110
-230.4849880,-2824.9802077
-230.4844493,-2824.9801232
-230.4840139,-2824.9799011
-230.4837298,-2824.9797105
-230.4837077,-2824.9796510
-230.4839364,-2824.9796317
-230.4844456,-2824.9796017
-230.4848626,-2824.9795959
-230.4851614,-2824.9796690
-230.4854751,-2824.9798473
-230.4859068,-2824.9801641
-230.4864012,-2824.9807152
-230.4871539,-2824.9815534
-230.4880763,-2824.9825047
-230.4890873,-2824.9833222
-230.4900873,-2824.9836494
-230.4910134,-2824.9833283
-230.4916001,-2824.9825735
-230.4920650,-2824.9817677
-230.4923196,-2824.9810298
-230.4926553,-2824.9804301
-230.4930206,-2824.9800439
-230.4935556,-2824.9797736
-230.4941386,-2824.9797954
-230.4945998,-2824.9798912
-230.4947991,-2824.9800483
-230.4947769,-2824.9802804
-230.4946478,-2824.9805370
-230.4945629,-2824.9807744
-230.4945925,-2824.9812134
-230.4946810,-2824.9816011
-230.4947031,-2824.9819873
-230.4943231,-2824.9821696
-230.4934339,-2824.9817852
-230.4332723,-2824.9558394
-230.4364603,-2824.9581207
-230.4392940,-2824.9611550
-230.4424746,-2824.9645555
-230.4462750,-2824.9677928
-230.4500238,-2824.9707244
-230.4531528,-2824.9727872
-230.4552522,-2824.9740033
-230.4570344,-2824.9743971
-230.4585435,-2824.9745596
-230.4591966,-2824.9745410
-230.4586985,-2824.9746173
-230.4578830,-2824.9750358
-230.4576653,-2824.9759790
-230.4582262,-2824.9773986
-230.4596394,-2824.9789066
-230.4614953,-2824.9801236
-230.4633623,-2824.9807140
-230.4652589,-2824.9807287
-230.4674432,-2824.9804087
-230.4702400,-2824.9802418
-230.4735977,-2824.9805187
-230.4771915,-2824.9812873
-230.4803979,-2824.9824483
-230.4828516,-2824.9836301
-230.4842464,-2824.9844801
-230.4848958,-2824.9850905
-230.4851282,-2824.9856915
-230.4847740,-2824.9861345
-230.4834051,-2824.9859891
-230.4812355,-2824.9848861
-230.4786711,-2824.9827156
-230.4756492,-2824.9796877
-230.4718525,-2824.9764490
-230.4677790,-2824.9735516
-230.4641113,-2824.9710505
-230.4612481,-2824.9693621
-230.4606098,-2824.9693598
-230.4634177,-2824.9719427
-230.4685907,-2824.9761636
-230.4734243,-2824.9796344
-230.4764315,-2824.9810040
-230.4785014,-2824.9810021
-230.4807927,-2824.9807591
-230.4843497,-2824.9809208
-230.4881059,-2824.9813544
-230.4904341,-2824.9816424
-230.4914709,-2824.9816604
-230.4914377,-2824.9815204
-230.4911130,-2824.9813090
-230.4907957,-2824.9811210
-230.4905780,-2824.9808794
-230.4904968,-2824.9806311
-230.4906001,-2824.9803118
-230.4908178,-2824.9801293
-230.4909912,-2824.9800137
-230.4911019,-2824.9800709
-230.4911647,-2824.9802577
-230.4909396,-2824.9805573
-230.4904415,-2824.9808839
-230.4895117,-2824.9810710
-230.4880948,-2824.9810191
-230.4865008,-2824.9806347
-230.4853164,-2824.9799737
-230.4846596,-2824.9792173
-230.4843497,-2824.9786388
-230.4844530,-2824.9784005
-230.4850101,-2824.9785072
-230.4858514,-2824.9789302
-230.4865451,-2824.9795731
-230.4869879,-2824.9804037
-230.4873236,-2824.9810004
-230.4879952,-2824.9811272
-230.4893641,-2824.9809738
-230.4907994,-2824.9804933
-230.4916001,-2824.9799917
-230.4922753,-2824.9798163
-230.4926443,-2824.9798888
-230.4927439,-2824.9801694
-230.4925409,-2824.9804722
-230.4919727,-2824.9804506
-230.4911130,-2824.9800069
-230.4901610,-2824.9792695
-230.4893087,-2824.9785978
-230.4886150,-2824.9782123
-230.4881391,-2824.9782165
-230.4880357,-2824.9786349
-230.4883383,-2824.9791769
-230.4888623,-2824.9796323
-230.4894083,-2824.9797986
-230.4898954,-2824.9796228
-230.4903861,-2824.9794389
-230.4909101,-2824.9793057
-230.4914525,-2824.9793482
-230.4919653,-2824.9795387
-230.4923712,-2824.9799503
-230.4925373,-2824.9802009
-230.4924745,-2824.9802262
-230.4919063,-2824.9800934
-230.4912053,-2824.9799649
-230.4332723,-2824.9558439
-230.4364603,-2824.9581194
-230.4392940,-2824.9611513
-230.4424746,-2824.9645530
-230.4462750,-2824.9677897
-230.4500238,-2824.9707292
-230.4531528,-2824.9727854
-230.4552522,-2824.9740046
-230.4570344,-2824.9743948
-230.4585435,-2824.9745557
-230.4591966,-2824.9745353
-230.4586985,-2824.9746182
-230.4578830,-2824.9750357
-230.4576653,-2824.9759796
-230.4582262,-2824.9773930
-230.4596394,-2824.9789108
-230.4614953,-2824.9801182
-230.4633623,-2824.9807256
-230.4652589,-2824.9807251
-230.4674432,-2824.9804116
-230.4702400,-2824.9802440
-230.4735977,-2824.9805208
-230.4771915,-2824.9812927
-230.4803979,-2824.9824427
-230.4828516,-2824.9836311
-230.4842464,-2824.9844826
-230.4848958,-2824.9850880
-230.4851282,-2824.9856943
-230.4847740,-2824.9861337
-230.4834051,-2824.9859887
-230.4812355,-2824.9848839
-230.4786711,-2824.9827107
-230.4756492,-2824.9796902
-230.4718525,-2824.9764544
-230.4677790,-2824.9735386
-230.4641113,-2824.9710531
-230.4612481,-2824.9693559
-230.4606098,-2824.9693615
-230.4634177,-2824.9719436
-230.4685907,-2824.9761656
-230.4734243,-2824.9796399
-230.4764315,-2824.9810033
-230.4785014,-2824.9810002
-230.4807927,-2824.9807587
-230.4843497,-2824.9809172
-230.4881059,-2824.9813603
-230.4904341,-2824.9816499
-230.4914709,-2824.9816623
-230.4914377,-2824.9815153
-230.4911130,-2824.9813103
-230.4907957,-2824.9811234
-230.4905780,-2824.9808810
-230.4904968,-2824.9806332
-230.4906001,-2824.9803134
-230.4908178,-2824.9801322
-230.4909912,-2824.9800133
-230.4911019,-2824.9800715
-230.4911647,-2824.9802614
-230.4909396,-2824.9805578
-230.4904415,-2824.9808809
-230.4895117,-2824.9810721
-230.4880948,-2824.9810253
-230.4865008,-2824.9806388
-230.4853164,-2824.9799754
-230.4846596,-2824.9792169
-230.4843497,-2824.9786394
-230.4844530,-2824.9783975
-230.4850101,-2824.9785053
-230.4858514,-2824.9789302
-230.4865451,-2824.9795700
-230.4869879,-2824.9803878
-230.4873236,-2824.9810028
-230.4879952,-2824.9811245
-230.4893641,-2824.9809712
-230.4907994,-2824.9804935
-230.4916001,-2824.9799940
-230.4922753,-2824.9798175
-230.4926443,-2824.9798936
-230.4927439,-2824.9801696
-230.4925409,-2824.9804696
-230.4919727,-2824.9804447
-230.4911130,-2824.9800036
-230.4901610,-2824.9792673
-230.4893087,-2824.9785981
-230.4886150,-2824.9782110
-230.4881391,-2824.9782151
-230.4880357,-2824.9786271
-230.4883383,-2824.9791776
-230.4888623,-2824.9796333
-230.4894083,-2824.9797950
-230.4898954,-2824.9796191
-230.4903861,-2824.9794358
-230.4909101,-2824.9793098
-230.4914525,-2824.9793480
-230.4919653,-2824.9795383
-230.4923712,-2824.9799469
-230.4925373,-2824.9802008
-230.4924745,-2824.9802251
-230.4919063,-2824.9800946
-230.4912053,-2824.9799634
-230.4656426,-2824.9802571
-230.4671037,-2824.9816291
-230.4676646,-2824.9835063
-230.4679376,-2824.9858574
-230.4683656,-2824.9883048
-230.4686756,-2824.9895536
-230.4677273,-2824.9889776
-230.4649969,-2824.9863573
-230.4613219,-2824.9825721
-230.4585435,-2824.9794472
-230.4578055,-2824.9783244
-230.4580232,-2824.9789256
-230.4577059,-2824.9804403
-230.4579384,-2824.9826602
-230.4594401,-2824.9856169
-230.4619750,-2824.9882334
-230.4646427,-2824.9895505
-230.4662809,-2824.9891896
-230.4667237,-2824.9869892
-230.4665724,-2824.9840761
-230.4667163,-2824.9818173
-230.4670558,-2824.9808406
-230.4664138,-2824.9810645
-230.4649784,-2824.9823514
-230.4637165,-2824.9841146
-230.4626908,-2824.9851859
-230.4614769,-2824.9844415
-230.4590896,-2824.9815716
-230.4554847,-2824.9772720
-230.4516031,-2824.9726861
-230.4484188,-2824.9691787
-230.4461422,-2824.9673559
-230.4442162,-2824.9661664
-230.4425890,-2824.9651608
-230.4422864,-2824.9652572
-230.4439284,-2824.9667350
-230.4474447,-2824.9691242
-230.4513632,-2824.9713497
-230.4536804,-2824.9722212
-230.4546360,-2824.9721425
-230.4563739,-2824.9730743
-230.4593848,-2824.9754112
-230.4627166,-2824.9781146
-230.4657533,-2824.9803186
-230.4681221,-2824.9813889
-230.4696534,-2824.9815199
-230.4711625,-2824.9815020
-230.4730664,-2824.9819705
-230.4750773,-2824.9827869
-230.4771436,-2824.9836943
-230.4791803,-2824.9844524
-230.4808776,-2824.9850095
-230.4821690,-2824.9853021
-230.4829882,-2824.9852673
-230.4832760,-2824.9849381
-230.4835674,-2824.9844678
-230.4838774,-2824.9841024
-230.4841394,-2824.9836470
-230.4841062,-2824.9830793
-230.4842205,-2824.9825309
-230.4846412,-2824.9822735
-230.4851946,-2824.9822413
-230.4856854,-2824.9824904
-230.4862019,-2824.9828781
-230.4865488,-2824.9833529
-230.4867111,-2824.9837777
-230.4867665,-2824.9841772
-230.4864639,-2824.9843167
-230.4856780,-2824.9839751
-230.4847629,-2824.9831477
-230.4839180,-2824.9819948
-230.4832206,-2824.9808854
-230.4826413,-2824.9802658
-230.4821727,-2824.9802335
-230.4820694,-2824.9807201
-230.4824421,-2824.9813742
-230.4831062,-2824.9818618
-230.4835158,-2824.9819377
-230.4835711,-2824.9816966
-230.4835859,-2824.9809637
-230.4836781,-2824.9803136
-230.4838737,-2824.9797668
-230.4841357,-2824.9795646
-230.4845046,-2824.9799441
-230.4851245,-2824.9810908
-230.4858403,-2824.9827071
-230.4866447,-2824.9840396
-230.4867554,-2824.9844014
-230.4862093,-2824.9837770
-230.4854824,-2824.9822598
-230.4850175,-2824.9806754
-230.4844825,-2824.9793514
-230.4836043,-2824.9784453
-230.4821912,-2824.9780421
-230.4807632,-2824.9784714
-230.4798150,-2824.9798666
-230.4795087,-2824.9813442
-230.4798039,-2824.9827446
-230.4803684,-2824.9835872
-230.4807669,-2824.9836425
-230.4774904,-2824.9822660
-230.4766012,-2824.9824608
-230.4760366,-2824.9829408
-230.4754131,-2824.9832155
-230.4747748,-2824.9830329
-230.4744796,-2824.9823399
-230.4747157,-2824.9813699
-230.4746161,-2824.9805071
-230.4734280,-2824.9796543
-230.4716385,-2824.9789833
-230.4700740,-2824.9787714
-230.4689191,-2824.9789073
-230.4677937,-2824.9793459
-230.4667421,-2824.9801255
-230.4657644,-2824.9807662
-230.4647091,-2824.9803090
-230.4628605,-2824.9779365
-230.4601153,-2824.9737124
-230.4578572,-2824.9693357
-230.4577686,-2824.9672655
-230.4585398,-2824.9675478
-230.4580786,-2824.9681353
-230.4571820,-2824.9691351
-230.4579937,-2824.9715733
-230.4605470,-2824.9747276
-230.4635394,-2824.9775369
-230.4659821,-2824.9790530
-230.4673251,-2824.9792198
-230.4679192,-2824.9781902
-230.4684321,-2824.9769284
-230.4693914,-2824.9765759
-230.4709854,-2824.9769969
-230.4725129,-2824.9776621
-230.4738228,-2824.9787123
-230.4752618,-2824.9804115
-230.4768853,-2824.9822848
-230.4783022,-2824.9835074
-230.4791803,-2824.9834173
-230.4799404,-2824.9822728
-230.4812318,-2824.9811893
-230.4832095,-2824.9809490
-230.4853348,-2824.9818279
-230.4872978,-2824.9832338
-230.4888512,-2824.9846002
-230.4898917,-2824.9853561
-230.4904341,-2824.9853283
-230.4905595,-2824.9847182
-230.4904894,-2824.9839915
-230.4905448,-2824.9834149
-230.4907367,-2824.9830188
-230.4909396,-2824.9828163
-230.4910982,-2824.9827284
-230.4911684,-2824.9826781
-230.4909064,-2824.9826439
-230.4905706,-2824.9826451
-230.4902644,-2824.9827453
-230.4901463,-2824.9828150
-230.4901242,-2824.9829540
-230.4903013,-2824.9833539
-230.4905374,-2824.9842167
-230.4906887,-2824.9853554
-230.4907735,-2824.9863790
-230.4905116,-2824.9864213
-230.4898806,-2824.9854938
-230.4892534,-2824.9841708
-230.4887220,-2824.9832244
-230.4882756,-2824.9828957
-230.4878144,-2824.9829888
-230.4872904,-2824.9830250
-230.4866705,-2824.9828291
-230.4860986,-2824.9823161
-230.4856190,-2824.9816902
-230.4853053,-2824.9812184
-230.4853127,-2824.9810562
-230.4853348,-2824.9811134
-230.4851688,-2824.9811385
-230.4847076,-2824.9809823
-230.4841910,-2824.9810500
-230.4840324,-2824.9817621
-230.4840360,-2824.9831751
-230.4840840,-2824.9846703
-230.4835453,-2824.9854592
-230.4823757,-2824.9850855
-230.4812208,-2824.9836095
-230.4804238,-2824.9816375
-230.4796600,-2824.9799130
-230.4783907,-2824.9788191
-230.4768558,-2824.9786237
-230.4757415,-2824.9796863
-230.4753614,-2824.9812148
-230.4752323,-2824.9819617
-230.4747268,-2824.9815779
-230.4740626,-2824.9805015
-230.4738486,-2824.9792210
-230.4739556,-2824.9787468
-230.4737822,-2824.9787556
-230.4732177,-2824.9787469
-230.4727749,-2824.9790838
-230.4725572,-2824.9803486
-230.4726568,-2824.9820248
-230.4484778,-2824.9659509
-230.4550677,-2824.9719139
-230.4603478,-2824.9763330
-230.4646759,-2824.9791213
-230.4683546,-2824.9807629
-230.4718082,-2824.9816752
-230.4750994,-2824.9824414
-230.4784756,-2824.9832445
-230.4818001,-2824.9842041
-230.4846596,-2824.9852302
-230.4865266,-2824.9861745
-230.4871465,-2824.9868111
-230.4867665,-2824.9869847
-230.4860064,-2824.9867128
-230.4852795,-2824.9861946
-230.4845268,-2824.9854824
-230.4834420,-2824.9846242
-230.4819181,-2824.9837115
-230.4803610,-2824.9828702
-230.4792467,-2824.9823441
-230.4786084,-2824.9821325
-230.4779848,-2824.9820722
-230.4766897,-2824.9818971
-230.4742324,-2824.9812496
-230.4708341,-2824.9798130
-230.4667901,-2824.9773237
-230.4621668,-2824.9734965
-230.4557134,-2824.9678696
-230.4475849,-2824.9609044
-230.4417034,-2824.9557816
-230.4431019,-2824.9564156
